"ID","country","address","city"
5821,"Indonesia","Penyelak,Desa Selebung Ketangga Kecamatan Keruak
Lombok Timur 83726 - NUSA TENGGARA BARAT",""
5822,"Indonesia","Jl. Rumah Sakit No.27
Ciamis - JAWA BARAT",""
5823,"Indonesia","Jl. Gatot Subroto no.127
Sidodadi Kec. Katobu
Muna - SULAWESI TENGGARA",""
5824,"Indonesia","Jl. Perintis Kemerdekaan No.431
Magelang KOTA MAGELANG - JAWA TENGAH",""
5825,"Indonesia","Jl. Komplek Mesjid Raya Baiturrahman
Kp. Baru
Banda Aceh - ACEH",""
5826,"Indonesia","Jl. Taman Borobudur Utara XII/11 
Manyaran
Semarang 50147 - JAWA TENGAH",""
5827,"Indonesia","Jl. Manggarupi No.118B
Kelurahan Pacinongan
Kabupaten Gowa - SULAWESI SELATAN",""
5828,"Indonesia","Jl. Hertasning II/23
Makassar - SULAWESI SELATAN",""
5829,"Indonesia","Gedung PBNU Lantai 7 Ruang 702
Jl.Kramat Raya No.164
Jakarta 10430 KOTA JAKARTA PUSAT - DKI JAKARTA",""
5830,"Indonesia","Jl. Pattimura no.15
Gunung Sitoli, Nias - SUMATERA UTARA",""
5831,"Indonesia","Jl. Meranti No.222
Makassar - SULAWESI SELATAN",""
5832,"Indonesia","Jl. Besuki no.27
Menteng
Jakarta 10310 - DKI JAKARTA",""
5833,"Indonesia","Jl. A. Yani No.125 Kelurahan Sukamanah
Tasikmalaya - JAWA BARAT",""
5834,"Indonesia","Jl. Bhakti  No. 21/A Dadok Tunggul Hitam
Padang 25176 - SUMATERA BARAT",""
5835,"Indonesia","Jl. Simpang Belitung no.5
Banjarmasin - KALIMANTAN SELATAN",""
5836,"Indonesia","Jl. Pemuda Komplek Masjid Al Hidayah
Pemalang - JAWA TENGAH",""
5837,"Indonesia","Jl. Manggala Raya No. 179 Blok VII Perumnas Antang
Makassar - SULAWESI SELATAN",""
5838,"Indonesia","Nita, Maumere 86/152, Sikka
Sikka - NUSA TENGGARA TIMUR",""
5839,"Indonesia","Jl. Merdeka 142 Panyabungan
Panyabungan 20199 MANDAILING NATAL - SUMATERA UTARA",""
5840,"Indonesia","Jl. Karonsih Utara Raya no. 365 Ngaliyan
Semarang - JAWA TENGAH",""
5841,"Indonesia","Gedung Widya Puraya Lantai 1
Jalan Prof. Sudharto, SH Kampus Tembalang
Semarang 50275 - JAWA TENGAH",""
5842,"Indonesia","Pondok Pesantren Al Ihya 
Mayasih. Kel. Cigugur
Kuningan 45552 - JAWA BARAT",""
5843,"Indonesia","Jl. Minggiran no. 61A
Yogyakarta 55141 - DI YOGYAKARTA",""
5844,"Indonesia","Jl. TGH. Ibrahim Khalidi Pelowok Kediri
Lombok Barat - NUSA TENGGARA BARAT",""
5845,"Indonesia","Jl.Pramuka 5A (Kencana) No.5
Samarinda - KALIMANTAN TIMUR",""
5847,"Indonesia","Jl. Jatisari no.28 Sumampir
Purwokerto 53125 - JAWA TENGAH",""
5848,"Indonesia","Jl. Kamper Raya Blok U no.1
Semarang - JAWA TENGAH",""
5849,"Indonesia","Jl. Bunga Kamboja II no.2
Kendari - SULAWESI TENGGARA",""
5850,"Indonesia","Jl. Ir. H. Juanda 132A
Tonatan
Ponorogo 63418 - JAWA TIMUR",""
5851,"Indonesia","Jl. Gunung Salju, Depan Kampus UNIPA-Amban
Monokwari 98301 - PAPUA BARAT",""
5852,"Indonesia","Jl. Lintas Belo - Teke Cenggu Desa Teke Kec. Palibelo
Bima BIMA - NUSA TENGGARA BARAT",""
5853,"Indonesia","Jl. Cikini Raya No.10A
Jakarta 10330 - DKI JAKARTA",""
5854,"Indonesia","Jl. Desa Cibolangkaler Cikaroya Tipar Cisaat
Sukabumi 43152 SUKABUMI - JAWA BARAT",""
5855,"Indonesia","Universitas Muhamadiyah Metro
Jl. KH Dewantara 116
Metro 34100 - LAMPUNG",""
5856,"Indonesia","Jl. Pangkalan Jati No.71 Pondok Labu Cinere
Depok 16513 - DKI JAKARTA",""
5857,"Indonesia","Pasar Palupuh Jl. Lintas Bukittinggi-Medan km 25 Kanagarian Pasia Laweh. Kec. Palupuh
Agam 26151 AGAM - SUMATERA BARAT",""
5858,"Indonesia","Jl. Dipati Ukur no. 3
Bandung - JAWA BARAT",""
5859,"Indonesia","Kampus Unsri Indralaya 
Jl. Raya Palembang - Prabumulih Km. 32 Indralaya
Kabupaten Ogan Ilir 30662 - SUMATERA SELATAN",""
5860,"Indonesia","Kampus UNNES, Bendan Ngiser
Semarang 50236 - JAWA TENGAH",""
5861,"Indonesia","Jl.Tembur Kranggan Pringsurat KM.0.5 Kranggan
Temanggung - JAWA TENGAH",""
5862,"Indonesia","Jl. Jayadiningrat No.43
Serang - BANTEN",""
5863,"Indonesia","Jl. Pawiyatan Luhur IV/1 Bendan Duwur
Semarang 50234 - JAWA TENGAH",""
