"ID","country","address","city"
8083,"Indonesia","Jalan Kaliurang Km. 14,5
Gedung D3 FE UII Lantai 4
Yogyakarta
Yogyakarta 55584 - DI YOGYAKARTA",""
8084,"Indonesia","Jl. Gedung Perpustakaan Lantai IV
Universitas Surabya 
Jl. Kalirungkut Tenggilis
Surabaya 60293 - JAWA TIMUR",""
8085,"Indonesia","Jeruklegi RT.13 RW.35 Gg. Bakung No. 517 A Banguntapan
Bantul 55198 - DI YOGYAKARTA",""
8086,"Indonesia","Puri Imperium Office Plaza 
Upper Ground Floor Unit UG-11 dan 12
Jl. Kuningan Madya, Kav. 5-6, Kuningan
Jakarta 12980 - DKI JAKARTA",""
8087,"Indonesia","Universitas Gajah Mada, Sekip K-9
Yogyakarta 55281 - DI YOGYAKARTA",""
8088,"Indonesia","Perum Pondok jati II Blok BL No.20 A Pagerwojo Buduran
Sidoarjo SIDOARJO - JAWA TIMUR",""
8089,"Indonesia","Jl. Bunga Rampai IX/4/135 Kel. Malaka Jaya Kec. Duren Sawit
Jakarta - DKI JAKARTA",""
8090,"Indonesia","Gedung Masri Singarimbun
Jl. Tevesia Bulaksumur
Yogyakarta","Yogyakarta"
8091,"Indonesia","Lt 11 Gedung Bersama Dekanat Fakultas Hukum
Universitas Andalas
Padang - SUMATERA BARAT",""
8092,"Indonesia","Universitas Surabaya, Kompleks Fakultas Teknik Gedung TG lt.IV
Jl. Kalirungkut
Surabaya 60292 - JAWA TIMUR",""
8093,"Indonesia","Bulaksumur G-7
PO Box 2 UGM
Yogyakarta 55281 - DI YOGYAKARTA",""
8094,"Indonesia","Jl. Kesejahteraan Raya No,24 Tanjung Karang Permai
Mataram 83115 - NUSA TENGGARA BARAT",""
8095,"Indonesia","Bulaksumur G-7
Sleman 55281 SLEMAN - DI YOGYAKARTA",""
8096,"Indonesia","Jl. Jeruk Purut No.11 Cilandak
Jakarta KOTA JAKARTA SELATAN - DKI JAKARTA",""
8097,"Indonesia","Labtek IX A R,230, Jl. Ganesha 10
BAndung 40132 - JAWA BARAT",""
8098,"Indonesia","Jl. Veteran Gg. Janur Kuning No. 11 A, Pandean, Umbulharjo,
Kota Yogyakarta 55161 KOTA YOGYAKARTA - DI YOGYAKARTA",""
8099,"Indonesia","Jl. MGR. Sugiapranata no.34A lt.2
Semarang - JAWA TENGAH",""
8100,"Indonesia","Jl. Veteran Gg. Janur Kuning No.10A Pandean Umbulharjo
Yogyakarta 55161 KOTA YOGYAKARTA - DI YOGYAKARTA",""
8101,"Indonesia","Jalan Al-Fath, Komplek Depag Blok G No. 1 Rt 02/07
Kelurahan Cipocok Jaya, Kecamatan Cipocok Jaya, Serang Banten
Kota Serang KOTA SERANG - BANTEN",""
8102,"Indonesia","Jl. Pahlawan No. 2
Jeneponto - SULAWESI SELATAN",""
8103,"Indonesia","Jl. Arif Margono II No. 15
Malang 65117 - ACEH",""
8104,"Indonesia","Jl. Jaya Bhakti 189 B
Kelurahan Medono
Pekalongan 51111 - JAWA TENGAH",""
8105,"Indonesia","Jl. Eksekus III No. 14 Komplek Kehakiman Sukasari
Kota Tangerang 15118 - BANTEN",""
8107,"Indonesia","Jl Durian IV No.21 Lamper Kidul
Semarang 50249 - JAWA TENGAH",""
8108,"Indonesia","Jl. Merbabu Utara III No. 19
Surakarta 57135 - JAWA TENGAH",""
8109,"Indonesia","Jl. Mawar Komplek Kejaksaan Agung Blok G-35 Psar Minggu
Jakarta 1243 KOTA JAKARTA SELATAN - DKI JAKARTA",""
8110,"Indonesia","Jl.Jamrud X No.18
Pondok Permata Suci
Gresik 61152 - JAWA TIMUR",""
8111,"Indonesia","Depan Balai Desa Kragan
Kec. Kragan
Rembang - JAWA TENGAH",""
8112,"Indonesia","Jl. Balearjosari 38
Malang - JAWA TIMUR",""
8114,"","V-5, 2nd Floor, BigBen Complex, J.P. Laurel Highway, Lipa City, Batangas",""
8115,"Indonesia","Pondok Pesantren Cipasung
Rt.02/07 Cipakat
Singaparna
Tasik Malaya 46417 - JAWA BARAT",""
8116,"Indonesia","Perumahan Bogor Baru, Jl. Danau Toba, Blok C-2 No.9
Kelurahan Tegallega, Kecamatan Bogor Tengah
Bogor 16127 - JAWA BARAT",""
8117,"Indonesia","Sampoerna Strategic Square
Menara Utara, Lt. 27
Jl. Jendral Sudirman Kav.45
Jakarta 12190 - DKI JAKARTA",""
8122,"Singapore","20 Hougang Street 11   Singapore 538748",""
8123,"Singapore","741 Jurong West Street 42 #01-01 Jurong Temple Singapore 649369",""
8127,"Singapore","20 MCCALLUM STREET #15-01 TOKIO MARINE CENTRE Singapore 069046",""
8129,"Singapore","495 Margaret Drive   Singapore 149305",""
8130,"Singapore","365 COMMONWEALTH AVENUE  QUEENSTOWN COMMUNITY CTR Singapore 149732",""
8131,"Singapore","400 COMMONWEALTH DRIVE   Singapore 149604",""
8132,"Singapore","709 COMMONWEALTH DRIVE  QUEENSTOWN LUTHERAN CHURCH Singapore 149601",""
8133,"Singapore","150A Mei Chin Road #01-01 and #02-01 Singapore 140150",""
8141,"Indonesia","Jl. Celagi Nunggul 101 Bali","Nusa Dua"
8144,"","Bogale, Ayeyarwady, Myanmar",""
8146,"Singapore","5000E MARINE PARADE RD #03-20 LAGUNA PARK Singapore 449288",""
8147,"Singapore","19 Amber Road   Singapore 439868",""
8150,"Singapore","1 TELOK BLANGAH CRESCENT  RADIN MAS COMMUNITY CLUB Singapore 098915",""
8151,"Indonesia","Jl.Jagalan 36 Po box 1104
Yogyakarta 55112 - DI YOGYAKARTA",""
8157,"Indonesia","Jl. H Shibi No.70 RT 007/01 Srengseng Sawah
Jakarta 12640 - DKI JAKARTA",""
8158,"Singapore","10 WOODLANDS DRIVE 17  MASJID YUSOF ISHAK Singapore 737740",""
8161,"","31 Moo 13 Thambon Thavangtan, Ampher Sarapi, Chiang Mai  50140,  Thailand"," Chiang Mai"
8162,"Singapore","501 MARGARET DRIVE   Singapore 149306",""
8164,"","11 Convant Road, Kwang Srilom, Khet Bangrak, Bangkok 10500"," Bangkok"
8177,"","255 Ratchawithi Road, Payathai, Bangkok"," Bangkok"
8180,"","185, Praditphat Road Soi Prsditphat 6 Samsennai Phayathai District, Bangkok, 10400 THAILAND",""
8182,"Indonesia","Jl. Mendut No.49 Bendogerit Sananwetan
Blitar KOTA BLITAR - JAWA TIMUR",""
8184,"Singapore","179 BARTLEY ROAD   Singapore 539784",""
8185,"","Post Ragihalli Hobli Jigan Bangalore Urban District, Bangalore, 560 083 INDIA",""
8186,"Singapore","179 Bartley Road   Singapore 539784",""
8189,"","#35 Lopez Jaena Street, 6000 Cebu City",""
8190,"","G/F Ramon Magsaysay Center, 1680 Roxas Blvd. Cor. J. Quintos St., Malate,  Manila",""
8193,"","Sabhavna, Jesuit Provincial's Residence Purulia Road, Post Box 4, Ranchi, 834001 INDIA",""
8198,"","2/40 Moo 2, Nakon Nayok Road, Rangsit 12110"," Rangsit"
8204,"Singapore","43 HINDHEDE WALK #07-08  Singapore 587973",""
8205,"","93/2, Keshava Shilpa, Kempegowdanagar, Bangalore, 560 019 INDIA",""
8206,"","E-183 B Ground Floor, Gali No 03 West Vinod Nagar, Delhi, 110092 INDIA",""
8210,"Singapore","600 NORTH BRIDGE ROAD #05-01 PARKVIEW SQUARE Singapore 188778",""
8211,"Singapore","15 HOE CHIANG ROAD #26-02 TOWER FIFTEEN Singapore 089316",""
8217,"","Orchid St. Purok St. Cruz, Calumpang, 9500 Gen. Santos City, South Cotabato",""
8221,"","Blk 187 Bishan Street 13 #01-475, Singapore, 570187 SINGAPORE",""
8222,"Singapore","187 BISHAN STREET 13 #01-475  Singapore 570187",""
8223,"","502 Bali Towers Station Road, Kalwa (West),, District - Thane, 400 605 INDIA",""
8227,"Indonesia","Mulyorejo Indah I/8
Surabaya KOTA SURABAYA - JAWA TIMUR",""
8239,"Singapore","170 UPPER BUKIT TIMAH ROAD #05-32 BUKIT TIMAH SHOPPING CENTRE Singapore 588179",""
8243,"","The Thai Red Cross Society 1871 Henry Dunant Rd.,Patumwan"," Bangkok"
8245,"","The CEO Building, 12th Floor, Jl. TB Simatupang No.18C, Jakarta, 12430 INDONESIA",""
8246,"Singapore","76 KENG LEE ROAD   Singapore 219251",""
8248,"Singapore","140 Casuarina Road   Singapore 579528",""
8249,"Singapore","60 EU TONG SEN STREET #03-14 FURAMA CITY CENTRE SINGAPORE Singapore 059804",""
8250,"Singapore","89 REDHILL CLOSE #1-448  Singapore 150089",""
8257,"Indonesia","Jl. Tukad Balian Gang 43 No 1A
Renon
Denpasar - BALI",""
8260,"Singapore","77 JURONG EAST STREET 13 #01-03 WESTMERE Singapore 609653",""
8261,"Singapore","237 ALEXANDRA ROAD #03-11 The Alexcier Singapore 159929",""
8268,"","Brgy. Sampaloc, Tanay, Rizal",""
8276,"","39/10 Moo 15, Soi 2, T. Suthep A. Muang, Chiang Mai 50200,"," Chiang Mai"
