"ID","country","address","city"
3267,"","2/F Bonifacio Technology Center, 31st St. cor. 2nd Ave., BGC, Taguig City",""
3269,"Indonesia","Jl. Cinde Barat I no.22A
Semarang - JAWA TENGAH",""
3270,"Indonesia","Jl. Malangbong VI no.6
Antapati
Bandung - JAWA BARAT",""
3271,"Indonesia","Jl. Lapangan 1 Komplek Duren Sawet Asri
Kav 1 No.2A Rawa Domba
Jakarta 13440 - DKI JAKARTA",""
3273,"Indonesia","Jl. Widoharjo no.19
Semarang - JAWA TENGAH",""
3274,"Indonesia","Jl. Abu Nawas III No.1
Kendari 93117 - SULAWESI TENGGARA",""
3275,"Indonesia","Jl. Komodor Yos Sudarso 
Gg Jambu Mete no.26
Pontianak 78113 - KALIMANTAN BARAT",""
3276,"Indonesia","Jl. DI Panjaitan no.61
Purbalingga 53311 - JAWA TENGAH",""
3277,"Indonesia","Jalan Bireuen- Takengon Lr. Merak IV No 06, Desa Juli Cot Merak, Bireuen
Bireuen BIREUEN - ACEH",""
3278,"Indonesia","Jl. Maccini Raya no.78
Makasar - SULAWESI SELATAN",""
3279,"Indonesia","Jl. Bontoramba no.8
Makassar 90221 - SULAWESI SELATAN",""
3280,"Indonesia","Jl. Simpang Gatot Subroto VII/Rama Rt 29 No. 61
Banjarmasin - KALIMANTAN SELATAN",""
3281,"Indonesia","Jl. Riung Purna II no.17
Perumahan Riung Bandung Permai
Bandung 40295 - JAWA BARAT",""
3282,"Indonesia","Jl. Muararajeun no.11A
Bandung - JAWA BARAT",""
3285,"Singapore","4 ROBINSON ROAD #05-01 THE HOUSE OF EDEN Singapore 048543",""
3286,"Indonesia","Jl. Suyudono, Gg Bulustalan 4 no. 628B RT 03/02 Kel. Bulustalan Kec. Semarang Selatan
Semarang","Semarang"
3287,"Indonesia","Jl. Jeruk A3-17 Perumahan Perbon Permai
Tuban TUBAN - JAWA TIMUR",""
3288,"Indonesia","Jl Kartama/Jl. Inpres Gg Bambu No 5 RT 07/ RW 16
Kelurahan Maharatu, Kec. Marpoyan Damai
Pekanbaru KOTA PEKANBARU - RIAU",""
3289,"Indonesia","Jl. Kemiri II no.23 Kel. Sudirejo 2 Kec. Medan Kota
Medan 20218 KOTA MEDAN - SUMATERA UTARA",""
3290,"Indonesia","Jl. Bambang Utoyo no.17
Palembang - SUMATERA SELATAN",""
3291,"Indonesia","Kompleks Pertanian no.10
Kadia
Kendari 93117 - SULAWESI TENGGARA",""
3292,"Indonesia","Jl Raya Cibeusi No. 32 Jatinangor
Sumedang 45363 - JAWA BARAT",""
3293,"Indonesia","Komplek Ponpes Asy-Syakur Rt10/03 Nglingi Bareng Ngasem
Bojonegoro 62154 - JAWA TIMUR",""
3294,"Indonesia","Jl. Dr. Moch Hatta No.144 RT/RW 01/20 Kel. Sukamanah Kec. Cipedes
Tasikmalaya - JAWA BARAT",""
3295,"Indonesia","Gereja Tiga Raja Timika
Jl. Yos Sudarso
Timika - PAPUA",""
3296,"Indonesia","Jl. Raya Sentani 88-B99351
Abepura
Jayapura - PAPUA",""
3297,"Indonesia","Jotawang, Bangunharjo
Sewon
Bantul 55187 - DI YOGYAKARTA",""
3298,"Indonesia","Ruko Taman Yasmin Sektor 6 No. 150 Lantai 3
Jalan. Ring Road Bogor â€“ Yasmin
Bogor 16113 - JAWA BARAT",""
3299,"Indonesia","Jl. Veteran no.65
Padang 25126 - SUMATERA BARAT",""
3300,"Indonesia","Jl. Benda No.65 RT 03/03 Kelurahan Cikalang
Tasikmalaya - JAWA BARAT",""
